business_id,name,is_open,postal_code,stars,Ambiance,Drinks,Food,Price,Service
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,5,0.13,0.16,0.21,0.19,0.19
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,2,0,0.02,0.02,-0.02,-0.02
iQ_JNYzwvhSsToR4EHl4cA,Le Macaron French Pastries,0,93101,1,-0.03,0.01,0,0,-0.04
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,5,1.39,5.35,0.85,0.74,2.28
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,4,0.36,1.02,0.33,0.2,0.59
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,3,0.15,0.45,0.03,0.12,0.06
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,2,0.11,0.02,-0.03,0,-0
Y0izXh4Dv1_YU68tn43Xiw,Handlebar Coffee Roasters,1,93105,1,0,0.1,0.04,0.08,0.05
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,5,1.46,0.79,1.53,0.5,2.69
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,4,0.61,0.43,0.5,0.48,0.91
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,3,0.36,0.15,0.25,0.21,0.13
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,2,0.12,0.08,0.28,0.58,0.18
B1yPXzIIJrLWyTcE4jsYuQ,Goat Tree,1,93101,1,0.04,-0.18,-0.01,-0.01,-0.27
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,5,0.1,0.15,0.24,0.09,0.07
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,1,0.08,0.02,0.07,0.08,0.02
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,2,0.08,0.16,0.14,0.12,0.06
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,4,0.08,0.08,0.21,0.03,0.11
eA1-vRvk8eDf-nH9Ux_G_A,Whodelicious,0,93101,3,0.02,0.01,0.01,-0.01,0.01
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,5,0.83,1.42,2.12,0.54,1.75
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,4,0.3,0.32,0.63,0.25,0.34
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,3,0.16,0.45,0.32,0.24,0.12
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,2,0.03,0.14,0.05,0.07,0.08
3tvi-OJ_-iK1ecjzSaH-oA,Hook And Press Donuts,1,93101,1,0.01,0,0,-0.05,-0.01
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,5,0.32,0.43,0.8,0.4,0.6
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,3,0.02,0.01,0.03,0,0.01
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,1,0,0,0,0,-0.01
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,2,0,0.01,0.02,0.01,0.02
PtaFDKkhxSjcXz6dVM0uLw,Deux Bakery,1,93103,4,-0.01,0.05,0.07,0,0.08
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,5,0.28,0.58,0.35,0.12,0.47
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,3,0.18,0.14,0.12,0.32,0.16
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,4,0.12,0.05,0.08,0.18,0.09
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,1,-0.03,0.04,0.03,0.07,-0.05
tiSIiacOzflrMMwJEXVFIA,Dunkin',0,93105,2,-0.03,0.14,0.08,0,0.08
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,5,0.57,0.4,1.23,2.32,2.23
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,4,0.06,0.12,0.11,0.06,0.08
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,2,0.02,0,-0,0,-0.01
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,1,0,0,0,0,0.01
izSgTrqebu8bN8ONOCs6cQ,Oat Bakery,1,93101,3,0,0,0.01,0,-0
